Case #,Report Type,UCR Classification,Common Name,Address,Disposition,Occur from,Occur to,Rpt Date
16-000961,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,OPEN,5/6/2016 07:05PM,5/6/2016 07:07PM,5/6/2016
16-000942,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MCMAHON HALL,4200  WHITMAN CT NE,CLOSED,5/3/2016 05:00AM,5/3/2016 06:00AM,5/4/2016
16-000943,THEFT - BICYCLE,LARCENY - OTHER,COMMUNITY DESIGN CENTER,3947  UNIVERSITY WAY NE,CLOSED,5/4/2016 12:30PM,5/4/2016 05:30PM,5/4/2016
16-000944,THEFT - OTHER,LARCENY - OTHER,SCHMITZ HALL,1410 NE CAMPUS PKY,CLOSED,5/3/2016 08:50PM,5/3/2016 09:00PM,5/4/2016
16-000927,THEFT - OTHER,LARCENY - OTHER,RED SQUARE,4063  SPOKANE LN NE,CLOSED,4/30/2016 08:50AM,5/3/2016 08:55AM,5/3/2016
16-000929,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HUSKY STADIUM,3800  MONTLAKE BLVD NE,OPEN,5/2/2016 03:15PM,5/3/2016 09:00AM,5/3/2016
16-000930,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,OPEN,4/20/2016 03:00PM,5/3/2016 01:00PM,5/3/2016
16-000932,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,5/3/2016 09:30AM,5/3/2016 03:00PM,5/3/2016
16-000934,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,GOULD HALL,3950  UNIVERSITY WAY NE,CLOSED,4/29/2016 04:00PM,4/29/2016 04:05PM,5/3/2016
16-000935,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,OPEN,5/2/2016 05:20PM,5/2/2016 08:30PM,5/3/2016
16-000936,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,OPEN,5/2/2016 06:00PM,5/2/2016 07:30PM,5/3/2016
16-000917,THEFT - BICYCLE,LARCENY - OTHER,ELM HALL,1218 NE CAMPUS PKY,CLOSED,4/30/2016 10:40AM,5/1/2016 02:05PM,5/2/2016
16-000920,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,5/2/2016 01:31PM,5/2/2016 01:33PM,5/2/2016
16-000921,THEFT - BICYCLE,LARCENY - OTHER,THOMSON HALL,2023 NE SKAGIT LN,CLOSED,5/2/2016 01:15PM,5/2/2016 03:25PM,5/2/2016
16-000922,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ALLEN LIBRARY,1900 NE GRANT LN,OPEN,5/2/2016 06:00PM,5/2/2016 06:30PM,5/2/2016
16-000923,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,W21 PARKING GARAGE,1112 NE 41ST ST,CLOSED,5/1/2016 11:55PM,5/2/2016 07:00PM,5/2/2016
16-000924,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,OPEN,5/2/2016 07:00PM,5/2/2016 08:00PM,5/2/2016
16-000925,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,OPEN,5/2/2016 07:00PM,5/2/2016 08:15PM,5/2/2016
16-000915,THEFT - BICYCLE,LARCENY - OTHER,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,4/29/2016 03:15PM,5/1/2016 07:00PM,5/1/2016
16-000912,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,C10 PARKING LOT,3709  WEST STEVENS WAY NE,CLOSED,4/30/2016 11:00PM,4/30/2016 11:20PM,4/30/2016
16-000888,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E98 PARKING LOT IMA METERS,3911  MONTLAKE BLVD NE,CLOSED,4/27/2016 09:00PM,4/27/2016 10:45PM,4/28/2016
16-000890,ASSAULT - SIMPLE,SIMPLE ASSAULT,SUZZALLO LIBRARY,1840 NE GRANT LN,CLOSED,4/28/2016 12:01PM,4/28/2016 12:30PM,4/28/2016
16-000893,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,ARREST,4/28/2016 05:10PM,4/28/2016 05:14PM,4/28/2016
16-000895,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MUSIC BLDG,2034 NE SKAGIT LN,OPEN,4/21/2016 05:30PM,4/25/2016 11:30AM,4/28/2016
16-000877,THEFT - FROM BUILDING,LARCENY - OTHER,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,OPEN,4/27/2016 06:40AM,4/27/2016 06:49AM,4/27/2016
16-000879,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ELM HALL,1218 NE CAMPUS PKY,OPEN,4/17/2016 03:00PM,4/27/2016 10:00AM,4/27/2016
16-000880,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,BY GEORGE,4056  GEORGE WASHINGTON LN NE,CLOSED,4/26/2016 09:00PM,4/27/2016 08:00AM,4/27/2016
16-000881,THEFT - BICYCLE,LARCENY - OTHER,MILLER HALL,2012 NE SKAGIT LN,OPEN,4/27/2016 10:00AM,4/27/2016 04:00PM,4/27/2016
16-000883,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,OPEN,4/27/2016 05:00PM,4/27/2016 05:20PM,4/27/2016
16-000884,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,OPEN,4/27/2016 03:50PM,4/27/2016 04:30PM,4/27/2016
16-000885,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,OPEN,4/27/2016 04:45PM,4/27/2016 05:00PM,4/27/2016
16-000882,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,OPEN,4/27/2016 03:50PM,4/27/2016 04:45PM,4/27/2016
16-000882,THEFT - FROM BUILDING,FRAUD-CREDIT CARD/ATM,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,OPEN,4/27/2016 03:50PM,4/27/2016 04:45PM,4/27/2016
16-000875,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,CLOSED,4/26/2016 07:20PM,4/26/2016 07:30PM,4/26/2016
16-000858,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E1 PARKING LOT,4239  WALLA WALLA RD NE,OPEN,4/23/2016 07:45PM,4/23/2016 08:45PM,4/23/2016
16-000858,THEFT - CAR PROWL,FRAUD-CREDIT CARD/ATM,E1 PARKING LOT,4239  WALLA WALLA RD NE,OPEN,4/23/2016 07:45PM,4/23/2016 08:45PM,4/23/2016
16-000844,THEFT - BICYCLE,LARCENY - FROM BUILDING,ELM HALL,1218 NE CAMPUS PKY,CLOSED,4/17/2016 06:30PM,4/22/2016 12:40AM,4/22/2016
16-000851,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HUTCHINSON HALL,4276  EAST STEVENS WAY NE,CLOSED,4/22/2016 01:25PM,4/22/2016 01:35PM,4/22/2016
16-000835,ASSAULT - SIMPLE,SIMPLE ASSAULT,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,OPEN,4/20/2016 12:28AM,4/20/2016 12:39AM,4/21/2016
16-000840,THEFT - OTHER,LARCENY - OTHER,RED SQUARE,4063  SPOKANE LN NE,CLOSED,4/21/2016 11:36AM,4/21/2016 11:49AM,4/21/2016
16-000831,THEFT - OTHER,LARCENY - OTHER,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,4/18/2016 06:00AM,4/19/2016 12:30AM,4/20/2016
16-000832,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,OPEN,4/20/2016 03:00PM,4/20/2016 03:30PM,4/20/2016
16-000833,THEFT - BICYCLE,LARCENY - OTHER,FOEGE BUILDING,3720  15TH AVE NE,CLOSED,4/20/2016 08:30AM,4/20/2016 07:30PM,4/20/2016
16-000827,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,4/5/2016 11:06AM,4/12/2016 10:00PM,4/19/2016
16-000822,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,NORTHWEST HORTICULTURAL SOC,3501 NE 41ST ST,OPEN,4/18/2016 01:00PM,4/18/2016 05:00PM,4/18/2016
16-000824,THEFT - BICYCLE,LARCENY - FROM BUILDING,MILLER HALL,2012 NE SKAGIT LN,CLOSED,4/14/2016 04:00PM,4/18/2016 09:30AM,4/18/2016
16-000809,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,4/17/2016 01:09AM,4/17/2016 01:09AM,4/17/2016
16-000784,THEFT - OTHER,LARCENY - OF MV PART/ACCESSORIES,N26 PARKING LOT,4525  25TH AVE NE,CLOSED,4/8/2016 04:00PM,4/14/2016 06:00AM,4/14/2016
16-000788,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,SUZZALLO LIBRARY,1840 NE GRANT LN,CLOSED,4/14/2016 05:05PM,4/14/2016 05:07PM,4/14/2016
16-000779,THEFT - BICYCLE,LARCENY - OTHER,BENJAMIN HALL RESEARCH BLDG,616 NE NORTHLAKE PLACE,CLOSED,4/13/2016 09:00AM,4/13/2016 01:00PM,4/13/2016
16-000780,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E14 PARKING LOT,2703 NE CLARK RD,CLOSED,4/13/2016 03:00PM,4/13/2016 03:45PM,4/13/2016
16-000781,THEFT - CAR PROWL,FRAUD-CREDIT CARD/ATM,E14 PARKING LOT,2703 NE CLARK RD,OPEN,4/13/2016 04:23PM,4/13/2016 04:59PM,4/13/2016
16-000781,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E14 PARKING LOT,2703 NE CLARK RD,OPEN,4/13/2016 04:23PM,4/13/2016 04:59PM,4/13/2016
16-000782,THEFT - BICYCLE,LARCENY - OTHER,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,4/13/2016 06:06PM,4/13/2016 06:35PM,4/13/2016
16-000771,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ALLEN LIBRARY,1900 NE GRANT LN,CLOSED,4/11/2016 12:01PM,4/11/2016 04:30PM,4/12/2016
16-000775,THEFT - BICYCLE,LARCENY - FROM BUILDING,MARY GATES HALL,1851 NE GRANT LN,CLOSED,4/12/2016 02:00PM,4/12/2016 04:30PM,4/12/2016
16-000763,THEFT - BICYCLE,LARCENY - OTHER,UW STATION,3720  MONTLAKE BLVD NE,CLOSED,4/10/2016 01:30PM,4/11/2016 01:30AM,4/11/2016
16-000767,THEFT - BICYCLE,LARCENY - FROM BUILDING,MAGNUSON HEALTH SCIENCES,1705 NE PACIFIC ST,CLOSED,4/11/2016 11:00AM,4/11/2016 05:30PM,4/11/2016
16-000768,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,4/11/2016 10:50AM,4/11/2016 11:10AM,4/11/2016
16-000760,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,SMITH HALL,1911 NE SKAGIT LN,CLOSED,4/8/2016 05:00PM,4/10/2016 03:30PM,4/10/2016
16-000755,THEFT - BICYCLE,LARCENY - OTHER,TERRY HALL-PUBLIC,1045 NE CAMPUS PKY,CLOSED,4/8/2016 07:38PM,4/9/2016 05:00PM,4/9/2016
16-000742,VEHICLE THEFT,MOTOR VEHICLE THEFT,CENTRAL PARKING GARAGE,4100  15TH AVE NE,CLOSED-UNFOUNDED,4/7/2016 08:50AM,4/7/2016 06:00PM,4/7/2016
16-000743,VEHICLE THEFT,MOTOR VEHICLE THEFT,E19 PARKING LOT,3707  WALLA WALLA RD NE,CLOSED-UNFOUNDED,4/7/2016 08:00AM,4/7/2016 07:00PM,4/7/2016
16-000726,THEFT - BICYCLE,LARCENY - OTHER,SOC WORK/SPEECH HEARING,4131  15TH AVE NE,CLOSED,4/4/2016 09:00AM,4/5/2016 11:00AM,4/5/2016
16-000712,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,N24 PARKING LOT,4006  MASON RD NE,CLOSED,4/1/2016 09:30AM,4/4/2016 06:30AM,4/4/2016
16-000713,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MARY GATES HALL,1851 NE GRANT LN,CLOSED,4/1/2016 03:30PM,4/4/2016 07:00AM,4/4/2016
16-000714,THEFT - OTHER,LARCENY - OTHER,OLD QUAD,4150  KING LN NE,CLOSED,4/4/2016 08:43AM,4/4/2016 08:45AM,4/4/2016
16-000715,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,4/2/2016 04:30PM,4/3/2016 03:00PM,4/4/2016
16-000710,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MONGOLIAN GRILL,4523 NE UNIVERSITY WAY,CLOSED,4/3/2016 07:50PM,4/3/2016 08:00PM,4/3/2016
16-000699,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,3/31/2016 02:45PM,3/31/2016 07:00PM,4/2/2016
16-000680,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,N5 PARKING LOT,4350  EAST STEVENS WAY NE,CLOSED,3/31/2016 10:00AM,3/31/2016 12:00PM,3/31/2016
16-000683,THEFT - OTHER,LARCENY - OTHER,W21 PARKING GARAGE,1112 NE 41ST ST,CLOSED,2/14/2016 08:00AM,3/30/2016 04:35PM,3/31/2016
16-000684,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E14 PARKING LOT,2703 NE CLARK RD,CLOSED,3/31/2016 06:05PM,3/31/2016 06:20PM,3/31/2016
16-000685,VEHICLE THEFT,MOTOR VEHICLE THEFT,E17 PARKING LOT,3800  MONTLAKE BLVD NE,CLOSED,3/31/2016 11:15AM,3/31/2016 01:35PM,3/31/2016
16-000670,THEFT - BICYCLE,LARCENY - OTHER,LOEW HALL,3920  EAST STEVENS WAY NE,CLOSED,3/29/2016 05:00PM,3/29/2016 06:00PM,3/30/2016
16-000666,THEFT - BICYCLE,LARCENY - OTHER,MAGNUSON HEALTH SCIENCES,1705 NE PACIFIC ST,CLOSED,3/25/2016 07:30AM,3/25/2016 04:30PM,3/29/2016
16-000667,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,W23 PARKING GARAGE,1112 NE 41ST ST,CLOSED,10/1/2015 05:00PM,3/29/2016 06:45PM,3/29/2016
16-000653,THEFT - OTHER,LARCENY - OTHER,STEVENS CT APT EAST ABCDH,3801  BROOKLYN AVE NE,CLOSED,3/22/2016 12:00PM,3/28/2016 08:00AM,3/28/2016
16-000655,THEFT - BICYCLE,LARCENY - OTHER,S1 PARKING LOT,1651 NE COLUMBIA RD,CLOSED,3/24/2016 07:45AM,3/24/2016 05:45PM,3/28/2016
16-000661,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,W32/33 PARKING LOT,1112 NE PACIFIC ST,CLOSED,3/27/2016 03:00PM,3/27/2016 03:30PM,3/28/2016
16-000644,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,W32/33 PARKING LOT,1112 NE PACIFIC ST,CLOSED,3/5/2016 01:30PM,3/26/2016 09:30PM,3/26/2016
16-000638,THEFT - BICYCLE,LARCENY - OTHER,CHDD CLINIC,1961 NE COLUMBIA RD,CLOSED,3/25/2016 05:27AM,3/25/2016 07:35PM,3/25/2016
16-000639,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,SOUTH CAMPUS CENTER,1601 NE COLUMBIA RD,OPEN,3/25/2016 05:45PM,3/25/2016 06:30PM,3/25/2016
16-000627,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,TRIANGLE PARKING GARAGE,2121 NE PACIFIC PL,CLOSED,3/23/2016 05:00PM,3/24/2016 07:45AM,3/24/2016
16-000623,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,3/21/2016 02:00PM,3/21/2016 02:15PM,3/23/2016
16-000614,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,BAGLEY HALL,3900  OKANOGAN LN NE,OPEN,3/16/2016 10:00AM,3/16/2016 01:00PM,3/22/2016
16-000609,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,ARREST,3/21/2016 03:09PM,3/21/2016 05:01PM,3/21/2016
16-000588,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HANSEE HALL,2011 NE 45TH ST,CLOSED,3/18/2016 01:00PM,3/18/2016 02:30PM,3/18/2016
16-000577,THEFT - OTHER,LARCENY - OTHER,RED SQUARE,4063  SPOKANE LN NE,CLOSED,3/17/2016 08:00AM,3/17/2016 09:30AM,3/17/2016
16-000576,THEFT - OTHER,LARCENY - OTHER,OLD QUAD,4150  KING LN NE,CLOSED,3/17/2016 08:00AM,3/17/2016 09:30AM,3/17/2016
16-000573,VEHICLE THEFT,MOTOR VEHICLE THEFT,N15 PARKING LOT,4215  PEND OREILLE RD NE,OPEN,3/6/2016 07:30PM,3/16/2016 09:15PM,3/16/2016
16-000575,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,SURGERY PAVILION,2159 NE PACIFIC ST,CLOSED,3/16/2016 04:00PM,3/16/2016 10:30PM,3/16/2016
16-000575,THEFT - CAR PROWL,FRAUD-CREDIT CARD/ATM,SURGERY PAVILION,2159 NE PACIFIC ST,CLOSED,3/16/2016 04:00PM,3/16/2016 10:30PM,3/16/2016
16-000564,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HARRIS HYDRAULICS LABORATORY,1510 NE SAN JUAN RD,OPEN,3/9/2016 06:15PM,3/15/2016 10:00AM,3/15/2016
16-000564,THEFT - FROM BUILDING,DESTRUCTION/DAMAGE/VANDALISM,HARRIS HYDRAULICS LABORATORY,1510 NE SAN JUAN RD,OPEN,3/9/2016 06:15PM,3/15/2016 10:00AM,3/15/2016
16-000549,THEFT - BICYCLE,LARCENY - OTHER,NORDHEIM COURT,5000  25TH AVE NE,CLOSED,3/14/2016 11:12AM,3/14/2016 11:40AM,3/14/2016
16-000551,THEFT - FROM BUILDING,LARCENY - FROM COIN-OPERATED DEVICE,MAGNUSON HEALTH SCIENCES,1705 NE PACIFIC ST,OPEN,3/3/2016 09:27AM,3/14/2016 11:33AM,3/14/2016
16-000535,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,CLOSED,3/11/2016 04:00PM,3/11/2016 05:00PM,3/13/2016
16-000534,THEFT - BICYCLE,LARCENY - OTHER,LAUREL VILLAGE,4200  MARY GATES MEMORIAL DR NE,CLOSED,3/10/2016 10:00PM,3/11/2016 07:00AM,3/12/2016
16-000529,ASSAULT - SIMPLE,SIMPLE ASSAULT,MEANY HALL,4040  GEORGE WASHINGTON LN NE,ARREST,3/10/2016 07:13PM,3/10/2016 07:15PM,3/11/2016
16-000529,ASSAULT - SIMPLE,INTIMIDATION/STALKING/THREATS,MEANY HALL,4040  GEORGE WASHINGTON LN NE,ARREST,3/10/2016 07:13PM,3/10/2016 07:15PM,3/11/2016
16-000531,THEFT - BICYCLE,LARCENY - OTHER,UW TOWER,4333  BROOKLYN AVE NE,CLOSED,3/11/2016 12:29PM,3/11/2016 12:30PM,3/11/2016
16-000532,THEFT - BICYCLE,LARCENY - OTHER,C10 PARKING LOT,3709  WEST STEVENS WAY NE,CLOSED,3/11/2016 08:00AM,3/11/2016 05:00PM,3/11/2016
16-000533,THEFT - BICYCLE,LARCENY - OTHER,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,3/11/2016 06:35AM,3/11/2016 07:45PM,3/11/2016
16-000513,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,BENJAMIN HALL RESEARCH BLDG,616 NE NORTHLAKE PL,CLOSED,3/10/2016 10:00AM,3/10/2016 11:00AM,3/10/2016
16-000517,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,ARREST,3/10/2016 01:20PM,3/10/2016 02:35PM,3/10/2016
16-000518,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,N13 PARKING LOT,4211  PEND OREILLE RD NE,CLOSED,3/7/2016 09:00AM,3/9/2016 06:00PM,3/10/2016
16-000511,ASSAULT - SIMPLE,SIMPLE ASSAULT,DISTRICT MARKET,4000  UNIVERSITY WAY NE,CLOSED,3/9/2016 09:20PM,3/9/2016 09:25PM,3/9/2016
16-000497,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,ROOSEVELT COMMONS,4311  11TH AVE NE,CLOSED,3/8/2016 08:50AM,3/8/2016 11:30AM,3/8/2016
16-000450,THEFT - FROM BUILDING,TRESPASS OF REAL PROPERTY,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,ARREST,3/4/2016 04:45AM,3/4/2016 06:32AM,3/4/2016
16-000450,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,ARREST,3/4/2016 04:45AM,3/4/2016 06:32AM,3/4/2016
16-000452,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,CENTRAL PARKING GARAGE,4100  15TH AVE NE,CLOSED,3/4/2016 07:51AM,3/4/2016 11:40AM,3/4/2016
16-000456,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,3/2/2016 06:40PM,3/4/2016 09:19PM,3/4/2016
16-000443,THEFT - BICYCLE,LARCENY - OTHER,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,2/28/2016 07:00PM,3/3/2016 07:08PM,3/3/2016
16-000423,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,ARREST,3/2/2016 01:32PM,3/2/2016 03:00PM,3/2/2016
16-000428,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MAGNUSON HEALTH SCIENCES,1705 NE PACIFIC ST,CLOSED,3/2/2016 04:00PM,3/2/2016 05:30PM,3/2/2016
16-000429,THEFT - OTHER,LARCENY - OTHER,MERCER HALL,3925  ADAMS LN NE,CLOSED,3/2/2016 07:20PM,3/2/2016 07:30PM,3/2/2016
16-000415,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E14 PARKING LOT,2703 NE CLARK RD,CLOSED,3/1/2016 10:30AM,3/1/2016 11:45AM,3/1/2016
16-000417,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,CENTRAL PARKING GARAGE,4100  15TH AVE NE,CLOSED,2/29/2016 09:00AM,2/29/2016 12:01PM,3/1/2016
16-000412,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,2/29/2016 04:05PM,2/29/2016 04:10PM,2/29/2016
16-000411,ASSAULT - SIMPLE,SIMPLE ASSAULT,HUSKY UNION BUILDING,4001  EAST STEVENS WAY NE,CLOSED,2/29/2016 02:51PM,2/29/2016 06:25PM,2/29/2016
16-000411,ASSAULT - SIMPLE,ALL OTHER OFFENSES,HUSKY UNION BUILDING,4001  EAST STEVENS WAY NE,CLOSED,2/29/2016 02:51PM,2/29/2016 06:25PM,2/29/2016
